"pdate","pdate 2","marka","cheader","cheader 2","comments"
"Aug 23","2024","Town & Country Limited 3.2L V6","TIPM Failure. Would Not Start","180,000 miles","Replaced the alternator only to have the battery be drained and that was a new battery. The battery was charged and then drove the car down to our church but a lightening bolt remained on the dash and the lights were going haywire. Cm out of the church later and the car would not start. Called my son to jump start my car for me so he. The car ran for 5 min. and quit. Would not start again even after jump starting. Next day had to flat bed to mechanic. Mechanic said was alternator. Update from Sep 25, 2024 My dad looked online and saw a way that we could reset the TIPM. We tried that and the vehicle worked. We used the vehicle for 5 days with out any problems. Now yesterday the vehicle would not start again. On Sunday my husband used the lift gate and also we took our granddaughter to church and she was buckled in the back seat. I am unsure if one of those caused the battery to draw done again. The vehicle worked Monday morning. I drove it for 10 minutes that day; then it set for the rest of the day. I know that it takes awhile for the battery to drain so I believe that is why it did not start yesterday. My son said I should undo the negative cable every night and re-connect in the morning. I do not believe I should have to do that, I have filed several complaints with Chrysler to no avail. Then I see that there was a lawsuit filed against them on this issue. Why were not all the people notified, This is the second Town and Country I have owned. The first one I had I never had a problem with that is why i bought another one. I do not believe I will purchase another one not after all the headaches with this one. These past few months alone I have spent over 2500.00 on this vehicle. If the interest was not so high I would have found a different vehicle by now. One that I could afford payments on."
"Feb 03","2024","Town & Country Touring 3.2L","TIPM Failure. Would Not Start","157,000 miles","I have had issues with the van not wanting to start and the fuel pump continuing to run even though the van would be turned off and the key removed from the vehicle. I would try to start it again and the battery would be dead. Now my van will not start or move or jump, nothing has worked. We already did the bypass at some point in time, probably years ago before we knew it was the TIPM. I have contacted Chrysler and they pretty much told me to kick rocks. The recall is for every vehicle made during that time spend except the town and country. Now I am stuck with this van no extra car, no way to get to work and Chrysler could careless that they sold a vehicle that was not going to last. Chrysler told me my car was to old, but upon doing some research... most of the time the company denies service recalls if the car is 15 yrs or older, well mines not there yet and the company doesn't care."
"Jan 01","2023","Town & Country","TIPM Failure. Would Not Start","150,000 miles","Car won't start. Turn the key and there is a 1/2 second starter engagement and then nothing. It will not start. Battery is strong, new and oversized due to chat room advice. The car still intermittently will not start. TIPM relays are faulty. Dealer and repair shops want $800 to $1200 to replace and reprogram the TIPM."
"Mar 15","2019","Town & Country LX 3.6L","TIPM Failure. Would Not Start","113,000 miles","The whole fuse box is garbage - 4 years ago I have to paid 500 dollars to bypass the fuel pump relay. Now the dash illuminates like a Christmas tree, the windows will roll down on it, and the door will open on it. You can be in the road and shows battery is dying and the wipers will go on as wells as the dash light the radio will go off. You can stop at the mall and lock the car when you came out is wide open with the Windows down. It's a mess. Is been like that for a while - first was the fuel pump. A recall was open for the same part on a Jeep on the same year but no for Chrysler. And it's been getting worse little by little."
"Dec 18","2019","Town & Country Touring 3.6L V6 Pentastar","TIPM Failure. Would Not Start","114,000 miles","Wife parked the car in the garage and noticed an electrical whirring sound coming from the rear of the car after it was turned off. It was dead in the morning. I was able to jump start it and drive it around but even with a restored battery it would not start without a jumper cables AND help from some starter fluid. Mechanic diagnosed the bad TIPM and replaced it. Part cost was over $1200 from dealership plus diagnostics and probably one hour of installation time, for a total of almost $1,500."
"Sep 21","2020","Town & Country","TIPM Failure. Would Not Start","116,620 miles","My TIPM had to be replaced at Suburban Chrysler Dodge Jeep Ram of Garden City, Michigan. First I brought my 2011 Town and Country to my normal place we take our cars. They replaced a cam sensor for $180, which wasnâ€™t the problem so they told us to take it to the dealership. My van would turn over and turn over but wouldnâ€™t start. Iâ€™ve heard of the recall for the TIPM on Dodge Durangoâ€˜s and Jeep Cherokee. My question is why isnâ€™t the recall for the 2011 Town and Country which many people are having the same issue. I believe this should be a recall part so Chrysler do the right thing and call recalls for the tipm before it causes any damage or death. You know itâ€™s a problem so do the right thing. FIX THE TIPM PROBLEM!!!!"
"Jun 08","2021","Town & Country Touring 3.6L 6cy","TIPM Failure. Would Not Start","118,000 miles","My car stalled out and died when i was at a stoplight yesterday.It constantly had the doors opening and closing, and the alarm going off all hours of the night. It never wants to start and sputters and sputters. We've had the issue since we got it 4 years ago."
"Jan 26","2021","Town & Country Touring 3.6L V6","TIPM Failure. Would Not Start","137,414 miles","Failure of TIPM. The inner relay for fuel pump works intermittently or not at all. The car will not start. This failure of the TIPM has also resulted in damage to the fuel pump and has rendered it broken."
"Dec 29","2020","Town & Country Touring-L 3.2L V6","TIPM Failure. Would Not Start","99,891 miles","Hello Minivan Team, This is the second time it happened to me. First was on 8-26-17, when I had to spend a crazy amount of money to replace the Alternator and came back to the road. Now on 12-29-20, the same issue and the same crazy amount of money $1707.51. This... it's just not right."
"May 02","2020","Town & Country V6","TIPM Failure. Would Not Start","125,000 miles","This is the second time and irs only been 50,000 miles since I got the car. Why canâ€™t Chrysler make a decent part? I want restitution!"
"Oct 28","2017","Town & Country","TIPM Failure. Would Not Start","100,000 miles","Chrysler really needs to step up and take care of this TIPM issue. My van is so nice and it is terrible to think that this one thing has caused so many issues."
