"pdate","pdate 2","marka","cheader","cheader 2","comments"
"Nov 00","2017","CR-V LX V6","Unwanted Acceleration When Braking","60,000 miles","Experience increased acceleration when braking nearly hitting a building."
"Sep 03","2016","CR-V EX 2.4L L4","Unwanted Acceleration When Braking","46,000 miles","Driver was driving in a shopping mall parking lot and pulling into a parking space. As driver was pressing on the brake pedal, driver noticed a burning odor and felt the car start to accelerate. The car continued to accelerate and jumped a curb, proceeded to move across a driving lane, and was headed toward the side of a building. The driver kept foot on the brake and steered the car into the path of a tree in front of the building to avoid hitting the building. The car struck the tree and came to a stop. Still waiting for insurance company to get estimate and have the car repaired. Really don't want to drive the car anymore."
"May 16","2016","CR-V EX 2.5L V4","Unwanted Acceleration When Braking","63,201 miles","I was fully stopped at an intersection. With my foot on the brake, the engine accelerated, the car bucked. At this point I jammed my foot harder on the brake to keep from entering the intersection."
"Aug 23","2015","CR-V ES 2.4L","Unwanted Acceleration When Braking","60,000 miles","When braking for a stop light, the engine accelerated. This has only happened once, however I worry about when this will happen again. Makes my husband and I nervous to say the least."
"Nov 11","2013","CR-V EX","Unwanted Acceleration When Braking","20,000 miles","I was stopped at a stoplight and just as I took my foot of the brake pedal to make a left hand turn my car shot forward like a rocket uncontrollably and I was doing 20 miles an hour if not more without my foot on the gas in less than 25 feet."
"Dec 20","2012","CR-V LX 2.4L","Unwanted Acceleration When Braking","19,653 miles","On my way from work I had an incident of unintended acceleration. I was able to stop my car after about 10 seconds (by switching transmission to Neutral). I brought car to Honda next morning and after two weeks received a letter from Honda Canada stating pedal misapplication or interference with pedal application by unanchored aftermarket floor mat, or both."
"Dec 20","2012","CR-V LX 2.4L","Unwanted Acceleration When Braking","19,653 miles","On my way from work on December 20, 2012 driving 2011 Honda CR-V LX I had an incident of unintended acceleration. I had to swerve to the right and jump a curb with my right wheel off the road in order to avoid a collision. My car was going high speed relative to the traffic. Any attempts to use brakes were unsuccessful and I was able to stop the car after about 10 seconds by switching transmission to Neutral. Fortunately, nobody was injured and no damage to other vehicles was done."
"Apr 22","2013","CR-V EX-L 2.4L V4","Unwanted Acceleration When Braking","20,225 miles","I was trying to park the vehicle in a paking spot in a parking lot of a shopping center. While I was trying to bring the vehicle to a complete stop by pressing the brake pedal, the vehicle kept moving faster and faster until the vehicle hit the brick wall of a building. The air bag deployed. The repair cost of the accedent was about $ 10, 000.00. The incident was reported to Honda through a Honda Dealer, Honda sent a representative who inspected the vehicle for two hours and finally gave the report that there is no problem with the brake system of the vehicle. He also told us in front of the representative from the Dealer that some one from the Honda HQ in CA will be in contact with us. We were never contacted by Honda as of today, June 6, 2013."
"Apr 12","2011","CR-V SE 4","Unwanted Acceleration When Braking","1,000 miles","This was my 4th Honda CrV. Car suddenly, but intermittently, would accelerate upon braking. Naturally, dealer could not duplicate the problem. I feared to drive this hazard and traded it immediately. I would like to buy a new CrV but simply cannot trust Honda. By the way, the CRV I test drove and thought I bought, turned out to be a different car. I checked the vin number on my purchase order and the dealer had substituted an identical new Crv indicating it didn't matter. The one I test drove and thought I purchased was made in Ohio, the one they gave me was made in Japan. I wonder if this hidden defect is associated with production sites? I didn't report this originally to anybody but the dealer. The dealer reported that they had heard about this problem, but hadn't experienced it and could not replicate it with my car. I have periodically monitored this site, and decided to add my complaint, albeit several years later. To this day every time I hit the brakes on my current carI wonder if they will work properly. As an expediency I traded the Crv for another Honda model with the same dealer and lost money in the process, but because it was fast and easy, and to its credit the dealer was accommodating. Nevertheless, I doubt I would ever trust Honda again with the wide variety of quality products out there today. I wonder what happened to the person who bought the very slightly used Crv and whether the dealer disclosed the undiagnosed braking/acceleration problem. Thanks. Ralph"
"Sep 14","2011","CR-V","Unwanted Acceleration When Braking","500 miles","This involuntary acceleration was absolutely frightening. The first of five times I thought I was imagining it the second time I thought my sandal was causing the problem the third time my husband was with me and I could not stop the car when I stepped on the brakes the car accelerated through the stop. I could not believe it! My husband insisted we take the car back to he dealer. They kept the car for a week called in a specialist from Honda of course they could NOT replicate the problem. I think they put a new sensor in. Now the car rev's up to 3 RPM's with no gas and the gas mileage is between 5-10 miles less than before.I don't trust this car anymore. It still has an acceleration problem....Now one year old thinking about another make and model. Looking into it.Read other complaint very accurate description of my experience I know there are more of us out there.Thanks for this forum."
"Sep 06","2012","CR-V ES V4","Unwanted Acceleration When Braking","26,500 miles","We bought a Certified 2011 Honda CRV. We were very happy until my wife experienced this horrible incident. She stopped at the red light behind this 18 wheeler. Then suddenly her car started to move forward. My wife frantically applied brakes without any result. Her car hit the 18 wheeler and continue to push forward. 18 wheeler did not even notice this and took off. She turned ignition off and car rolled to side road. Dealer ran all kinds of testing and test drove the vehicle. Of course, they did not find any issues. They told us that they found the water bottle rolling around driver side floor. I did not bother telling them how the water bottle could have landed on floor while the vehicle was being towed. We are very concerned with this issue. I was hoping to hear that they found something or had a possible solution."
